18;industrial_complex;2627.26;11.50;1289.85;4.83;0
18;industrial_complex;2631.83;12.40;1286.67;4.83;0
18;industrial_complex;2625.59;11.60;1293.68;4.83;0
18;industrial_complex;2630.67;12.40;1290.70;4.83;0
18;industrial_complex;2630.13;11.30;1275.74;4.83;0
18;industrial_complex;2633.85;12.50;1287.56;4.83;0
18;arms_factory;2629.00;12.28;1294.00;1.38;0
18;arms_factory;2622.00;11.03;1277.00;4.05;0
18;arms_factory;2640.00;11.30;1283.00;5.61;0
18;arms_factory;2632.00;11.30;1279.00;3.45;0
18;arms_factory;2641.00;11.82;1288.00;4.66;0
18;arms_factory;2625.00;11.32;1301.00;1.39;0
18;air_base;2621.21;11.30;1295.35;2.35;0
18;supply_node;2622.69;11.30;1283.35;0.55;0
18;supply_node;2639.90;11.80;1296.48;3.48;0
18;naval_base;2619.00;10.65;1303.00;-1.77;918
18;naval_base;2617.00;10.07;1290.00;-1.19;918
18;naval_base;2644.38;11.30;1285.01;0.31;884
18;naval_base;2625.00;9.50;1274.00;-0.79;918
18;bunker;2632.05;11.40;1283.71;-2.81;0
18;bunker;2619.19;11.20;1283.30;1.82;0
18;bunker;2642.48;11.80;1297.56;6.02;0
18;bunker;2625.35;11.30;1298.75;0.57;0
18;bunker;2643.91;11.70;1289.22;4.12;0
18;bunker;2633.29;11.30;1273.58;0.50;0
18;coastal_bunker;2630.17;11.30;1269.03;-0.01;0
18;coastal_bunker;2641.93;11.20;1281.74;1.11;0
18;coastal_bunker;2618.14;11.10;1279.01;-1.19;0
18;coastal_bunker;2618.04;11.10;1298.70;-1.77;0
18;coastal_bunker;2622.04;11.20;1275.49;-0.79;0
18;dockyard;2635.86;11.10;1267.33;-0.79;0
18;anti_air_building;2635.41;12.60;1295.31;1.01;0
18;anti_air_building;2627.00;11.32;1287.00;3.68;0
18;anti_air_building;2625.62;11.30;1280.21;0.41;0
18;synthetic_refinery;2623.72;11.40;1290.48;1.62;0
18;fuel_silo;2619.17;11.30;1291.56;5.74;0
18;rocket_site;2635.00;12.50;1289.00;3.69;0
18;nuclear_reactor;2635.00;11.30;1272.00;0.07;0
18;floating_harbor;2610.14;9.50;1300.37;1.37;955
18;supply_node;2637.20;12.20;1284.57;3.94;0
18;supply_node;2628.00;11.30;1279.00;5.42;0
19;arms_factory;3153.28;11.30;1280.70;2.63;0
