1;2676.00;11.55;1321.00;small
1;2638.00;11.98;1294.00;small
1;2670.00;12.82;1369.00;big
2;3118.00;12.90;1369.00;small
2;3153.00;12.18;1294.00;small
2;3112.00;11.43;1321.00;big
3;2716.00;11.40;1117.00;small
3;2753.00;11.53;1090.00;small
3;2716.00;11.30;1089.00;big
4;3072.00;11.50;1117.00;small
4;3072.00;11.30;1089.00;small
4;3035.00;11.55;1090.00;big
5;2696.06;11.60;1156.36;big
5;2724.37;11.30;1184.51;big
6;3062.00;11.30;1190.00;small
6;3084.00;11.65;1139.00;small
6;3097.00;11.30;1158.00;big
7;2796.00;11.45;1107.00;small
7;2748.00;11.65;1133.00;small
7;2811.00;11.30;1149.00;big
8;3033.00;11.75;1129.00;small
8;2977.00;11.30;1149.00;small
8;2992.00;11.45;1107.00;big
9;2925.00;14.10;1039.00;small
9;2856.26;14.10;1045.88;small
9;2892.47;12.30;1053.27;big
10;2861.00;11.88;1167.00;small
10;2899.00;11.30;1128.00;small
10;2927.00;11.80;1167.00;big
11;2859.00;11.62;1220.00;small
11;2941.00;11.88;1222.00;small
11;2903.00;12.25;1221.00;big
12;2149.47;11.90;620.37;small
12;2229.94;12.00;618.04;small
12;2248.09;9.50;667.63;big
13;3568.01;11.90;615.52;small
13;3643.16;11.90;619.65;small
13;3558.44;9.50;668.43;big
14;2748.00;9.50;1322.00;small
14;2704.00;9.50;1247.00;small
14;2673.00;9.50;1199.00;big
14;2785.00;9.50;1275.00;big
15;3115.00;9.50;1199.00;small
15;3003.00;9.50;1275.00;small
15;3074.00;9.50;1323.00;big
15;3084.00;9.50;1247.00;big
16;2894.00;9.50;1245.00;small
16;2867.00;9.50;1267.00;big
17;3130.00;9.50;1151.00;small
17;3098.00;9.50;1106.00;small
17;3042.00;9.50;1069.00;big
17;3157.00;9.50;1057.00;big
18;2746.00;9.50;1069.00;small
18;2658.00;9.50;1151.00;small
18;2631.00;9.50;1057.00;big
18;2690.00;9.50;1106.00;big
19;2826.00;9.50;1209.00;big
19;2831.93;9.50;1226.52;small
20;2958.60;9.50;1225.30;small
20;2962.00;9.50;1209.00;big
21;2803.00;9.50;997.00;small
21;2895.00;9.50;902.00;small
21;2971.00;9.50;939.00;big
21;2895.00;9.50;965.00;big
22;2746.00;9.50;856.00;small
22;2465.00;9.50;938.00;small
22;2403.00;9.50;818.00;big
22;2582.00;9.50;871.00;big
23;3385.00;9.50;818.00;small
23;3206.00;9.50;871.00;small
23;3323.00;9.50;938.00;big
23;3042.00;9.50;856.00;big
24;2620.00;9.50;1338.00;big
24;2703.76;9.50;1361.23;small
25;3168.00;9.50;1338.00;big
25;3078.72;9.50;1357.40;small
26;2609.00;9.50;1283.00;small
26;2560.00;9.50;1314.00;small
26;2453.00;9.50;1273.00;big
26;2535.00;9.50;1129.00;big
27;3335.00;9.50;1273.00;small
27;3228.00;9.50;1314.00;small
27;3179.00;9.50;1283.00;big
27;3253.00;9.50;1129.00;big
28;2685.00;9.50;1606.00;small
28;2682.00;9.50;1481.00;big
29;3106.00;9.50;1481.00;small
29;3103.00;9.50;1606.00;big
30;2934.39;9.50;1529.34;big
30;2861.63;9.50;1468.62;small
30;2926.83;11.20;1485.09;small
31;2235.00;9.50;968.00;small
31;2254.00;9.50;847.00;small
31;2437.00;9.50;1032.00;big
31;2129.00;9.50;742.00;big
32;3553.00;9.50;968.00;small
32;3659.00;9.50;742.00;small
32;3534.00;9.50;847.00;big
32;3351.00;9.50;1032.00;big
33;2055.00;9.50;1458.00;small
33;2158.00;9.50;1177.00;small
33;1913.00;9.50;1378.00;big
33;2342.00;9.50;1150.00;big
34;3763.00;9.50;1111.00;small
34;3875.00;9.50;1378.00;small
34;3517.00;9.50;1298.00;big
34;3733.00;9.50;1458.00;big
35;2236.00;9.50;1732.00;small
35;2256.00;9.50;1568.00;small
35;2496.00;9.50;1442.00;big
35;2352.00;9.50;1679.00;big
36;3541.00;9.50;1837.00;small
36;3532.00;9.50;1568.00;small
36;3436.00;9.50;1679.00;big
36;3292.00;9.50;1442.00;big
37;1694.00;9.50;1666.00;small
37;1656.00;9.50;1979.00;small
37;1987.00;9.50;1964.00;big
37;2019.00;9.50;1678.00;big
38;4094.00;9.50;1666.00;small
38;3801.00;9.50;1964.00;small
38;3769.00;9.50;1678.00;big
38;4132.00;9.50;1979.00;big
39;2532.00;9.50;1686.00;small
39;2595.00;9.50;1895.00;small
39;2446.00;9.50;1844.00;big
39;2239.00;9.50;1910.00;big
40;3342.00;9.50;1844.00;small
40;3193.00;9.50;1895.00;small
40;3256.00;9.50;1686.00;big
40;3549.00;9.50;1910.00;big
41;2677.00;9.50;1818.00;small
41;2704.00;12.78;1684.00;small
41;2632.00;9.50;1739.00;big
42;3156.00;9.50;1739.00;small
42;3084.00;13.55;1684.00;small
42;3111.00;9.50;1818.00;big
43;2974.00;9.50;2001.00;small
43;2976.00;9.50;1833.00;small
43;2814.00;9.50;2001.00;big
43;2856.00;9.50;1780.00;big
44;4783.00;9.50;1821.00;small
44;5050.00;9.50;1788.00;small
44;4471.00;9.50;1844.00;big
44;5409.00;9.50;1828.00;big
45;1317.00;9.50;1844.00;small
45;224.00;9.50;1863.00;small
45;611.00;9.50;1879.00;big
45;1004.00;9.50;1821.00;big
46;4702.00;9.50;1435.00;small
46;4495.00;9.50;1572.00;small
46;4680.00;9.50;1240.00;big
46;4305.00;9.50;1466.00;big
47;1483.00;9.50;1466.00;small
47;1086.00;9.50;1435.00;small
47;1108.00;9.50;1240.00;big
47;1711.00;9.50;1270.00;big
48;5153.00;9.50;1401.00;small
48;5451.00;9.50;1583.00;small
48;5105.00;9.50;1177.00;big
48;5503.00;9.50;1313.00;big
49;261.00;9.50;1062.00;small
49;180.00;9.50;1413.00;small
49;634.00;9.50;1401.00;big
49;674.00;9.50;1028.00;big
50;3897.00;9.50;948.00;small
50;4286.00;9.50;1160.00;small
50;4093.00;9.50;1206.00;big
50;4010.00;9.50;1019.00;big
51;1891.00;9.50;948.00;small
51;1502.00;9.50;1160.00;small
51;1374.00;9.50;1169.00;big
51;1700.00;9.50;1107.00;big
52;3283.00;9.50;623.00;small
